subject,trial,face,trial_type,rt,HandScored_SCR,raw_scr,scr,response,phase,status
1,1,0.77,,703,,0.976,0.987927123,2,1,
1,2,1,,529,,0.154,0.392428337,2,1,
1,3,0.11,,682,,0.656,0.809938269,1,1,
1,4,0.33,,595,,0.505,0.71063352,2,1,
1,5,0.55,,595,,0.032,0.178885438,2,1,
1,6,0.77,,609,,0.492,0.701427117,2,1,
1,7,0.11,,584,,0.544,0.737563557,1,1,
1,8,1,,481,,0.721,0.849117189,2,1,
1,9,0.77,,669,,0.312,0.558569602,2,1,
1,10,0.33,,1112,,0.065,0.254950976,2,1,
1,11,0.33,,1099,,0.021,0.144913767,2,1,
1,12,0.55,CSUS,747,,0.131,0.361939221,2,1,
1,13,0.11,,881,,0.521,0.721803297,1,1,
1,14,0.55,,607,,0.895,0.946044396,2,1,
1,15,1,,629,,0.184,0.428952212,2,1,
1,16,0.11,,685,,0.401,0.633245608,1,2,
1,17,0.33,,993,,0.851,0.922496612,2,2,
1,18,0.55,CSUS,554,,0.431,0.656505902,2,2,
1,19,0.77,,564,,0.064,0.252982213,2,2,
1,20,1,,529,,0.288,0.536656315,2,2,
1,21,0.11,,731,,0.396,0.629285309,1,2,
1,22,0.33,,737,,0.018,0.134164079,2,2,
1,23,0.55,,632,,0.03,0.173205081,2,2,
1,24,0.77,,639,,0.013,0.114017543,2,2,
1,25,1,,687,,0.015,0.122474487,2,2,
1,26,0.77,,904,,0.015,0.122474487,2,2,
1,27,1,,651,,0.212,0.460434577,2,2,
1,28,0.33,,627,,0.108,0.328633535,2,2,
1,29,0.55,CSUS,535,,0.013,0.114017543,2,2,
1,30,0.11,,992,,0.013,0.114017543,1,3,
1,31,0.11,,832,,0.067,0.258843582,1,3,
1,32,0.55,,794,,0.035,0.187082869,2,3,
1,33,0.33,,963,,0.051,0.225831796,2,2,
1,34,1,,679,,0.128,0.357770876,2,3,
1,35,0.77,,597,,0.138,0.371483512,2,3,
1,36,1,,590,,0.112,0.334664011,2,3,
1,37,0.11,,643,,0.187,0.432434966,1,3,
1,38,0.55,,614,,0.523,0.723187389,2,3,
1,39,0.77,,765,,0.329,0.573585216,2,3,
1,40,0.33,,907,,0.065,0.254950976,2,3,
1,41,1,,594,,0.447,0.668580586,2,3,
1,42,0.11,,704,,0.138,0.371483512,1,3,
1,43,0.55,,575,,0.073,0.270185122,2,3,
1,44,0.33,,1072,,0.041,0.202484567,2,3,
1,45,0.77,,641,,0.247,0.496990946,2,3,
2,1,0.77,,1097,,0.088,0.296647939,2,1,
2,2,1,,701,,0.207,0.454972527,2,1,
2,3,0.11,,666,,0.024,0.154919334,1,1,
2,4,0.33,,895,,0.352,0.593295879,2,1,
2,5,0.55,,799,,0.025,0.158113883,2,1,
2,6,0.77,,801,,0.012,0.109544512,2,1,
2,7,0.33,,1666,,0.032,0.178885438,1,1,
2,8,0.55,CSUS,896,,0.013,0.114017543,2,1,
2,9,0.11,,875,,0.032,0.178885438,1,1,
2,10,1,,732,,0.028,0.167332005,2,1,
2,11,1,,975,,0.018,0.134164079,2,1,
2,12,0.33,,1138,,0.019,0.137840488,1,2,
2,13,0.77,,702,,0.019,0.137840488,1,1,
2,14,0.55,,1174,,0.035,0.187082869,2,1,
2,15,0.11,,1058,,0.019,0.137840488,1,1,
2,16,0.11,,1381,,0.012,0.109544512,1,2,
2,17,0.33,,1458,,0.016,0.126491106,1,2,
2,18,0.55,CSUS,1468,,0.016,0.126491106,1,2,
2,19,0.77,,1513,,0.015,0.122474487,2,2,
2,20,1,,798,,0.028,0.167332005,2,2,
2,21,0.11,,748,,0.021,0.144913767,1,1,
2,22,0.33,,1184,,0.019,0.137840488,1,2,
2,23,0.55,,1347,,0.315,0.561248608,1,2,
2,24,0.77,,1519,,0.021,0.144913767,2,2,
2,25,1,,1308,,0.027,0.164316767,2,2,
2,26,1,,1259,,0.009,0.09486833,2,2,
2,27,0.33,,1163,,0.012,0.109544512,1,3,
2,28,0.77,,1595,,0.013,0.114017543,1,2,
2,29,0.11,,803,,0.032,0.178885438,1,3,
2,30,0.55,CSUS,1306,,0.015,0.122474487,1,2,
2,31,0.11,,743,,0.096,0.309838668,1,2,
2,32,0.77,,1607,,0.039,0.197484177,2,3,
2,33,1,,1115,,0.016,0.126491106,2,3,
2,34,0.33,,1039,,0.022,0.14832397,1,3,
2,35,0.55,,1591,,0.01,0.1,2,2,
2,36,0.55,,2212,,0.012,0.109544512,1,3,
2,37,0.77,,1724,,0.016,0.126491106,1,3,
2,38,1,,1106,,0.01,0.1,2,3,
2,39,0.11,,909,,0.012,0.109544512,2,3,
2,40,0.55,,1603,,0.013,0.114017543,1,3,
2,41,0.11,,696,,0.013,0.114017543,1,3,
2,42,0.33,,1204,,0.013,0.114017543,1,3,
2,43,1,,951,,0.01,0.1,2,3,
2,44,0.77,,1691,,0.012,0.109544512,2,3,
2,45,0.33,,951,,0.013,0.114017543,1,3,
4,1,1,CS,668,,1.965,1.401784577,2,1,
4,2,0.11,CS,549,,0.08,0.282842712,1,1,
4,3,0.55,CS,450,,0.184,0.428952212,2,1,
4,4,0.33,CS,846,,0.079,0.281069386,2,1,
4,5,0.77,CS,520,,0.03,0.173205081,2,1,
4,6,0.11,CS,458,,0.7,0.836660027,1,1,
4,7,0.33,CS,443,,0.018,0.134164079,2,1,
4,8,0.55,CS,607,,0.021,0.144913767,2,1,
4,9,1,CS,601,,0.561,0.748999332,2,1,
4,10,0.55,CSUS,485,,0.717,0.846758525,2,1,
4,11,0.11,CS,718,,0.018,0.134164079,1,1,
4,12,1,CS,500,,0.042,0.204939015,2,1,
4,13,0.33,CS,947,,0.015,0.122474487,2,1,
4,14,0.77,CS,605,,0.016,0.126491106,2,1,
4,15,0.77,CS,534,,0.015,0.122474487,2,1,
4,16,0.11,CS,393,,1.174,1.083512806,1,2,
4,17,0.33,CS,363,,0.364,0.603324125,2,2,
4,18,0.55,CSUS,564,,0.041,0.202484567,2,2,
4,19,0.77,CS,441,,0.413,0.642650761,2,2,
4,20,1,CS,484,,0.027,0.164316767,2,2,
4,21,0.11,CS,440,,1.184,1.088117641,2,2,
4,22,0.33,CS,845,,0.025,0.158113883,2,2,
4,23,0.55,CS,546,,0.019,0.137840488,2,2,
4,24,0.77,CS,590,,0.016,0.126491106,2,2,
4,25,1,CS,478,,0.013,0.114017543,2,2,
4,26,0.77,CS,450,,0.022,0.14832397,2,2,
4,27,0.55,CSUS,516,,0.015,0.122474487,2,2,
4,28,0.11,CS,453,,0.045,0.212132034,1,2,
4,29,0.33,CS,586,,0.013,0.114017543,2,3,
4,30,1,CS,451,,0.697,0.834865259,2,3,
4,31,0.33,CS1,538,,0.012,0.109544512,2,3,
4,32,1,CS1,540,,0.022,0.14832397,2,2,
4,33,0.55,CS1,504,,0.015,0.122474487,2,2,
4,34,0.11,CS1,509,,0.115,0.339116499,1,3,
4,35,0.77,CS1,481,,0.106,0.325576412,2,3,
4,36,0.77,CS,489,,0.012,0.109544512,2,3,
4,37,0.11,CS,479,,0.012,0.109544512,1,3,
4,38,1,CS,459,,0.045,0.212132034,2,3,
4,39,0.33,CS,827,,0.01,0.1,2,3,
4,40,1,CS,543,,0.1,0.316227766,2,3,
4,41,0.55,CS,561,,0.021,0.144913767,2,3,
4,42,0.55,CS,479,,0.01,0.1,2,3,
4,43,0.77,CS,503,,0.009,0.09486833,2,3,
4,44,0.33,CS,1083,,0.012,0.109544512,2,3,
4,45,0.11,CS,559,,0.009,0.09486833,1,3,
5,1,1,CS,884,,0.012,0.109544512,2,1,
5,2,0.33,CS,2524,,0.01,0.1,1,1,
5,3,0.55,CS,1402,,0.012,0.109544512,2,1,
5,4,0.77,CS,874,,0.009,0.09486833,2,1,
5,5,0.11,CS,1381,,0.012,0.109544512,1,1,
5,6,0.55,CSUS,1369,,0.012,0.109544512,2,1,
5,7,0.55,CS,753,,0.122,0.349284984,2,1,
5,8,0.33,CS,1100,,0.032,0.178885438,1,1,
5,9,0.11,CS,759,,0.022,0.14832397,1,1,
5,10,0.33,CS,2758,,0.012,0.109544512,2,1,
5,11,1,CS,1124,,0.68,0.824621125,2,1,
5,12,0.77,CS,939,,0.032,0.178885438,2,1,
5,13,1,CS,1031,,0.027,0.164316767,2,1,
5,14,0.77,CS,893,,0.01,0.1,2,1,
