subject,trial,face,trial_type,rt,HandScored_scr,raw_scr,scr,response
1,1,0.11,CS,4386,,0.704,0.839047079,1
1,2,0.55,CS,2577,,0.234,0.483735465,2
1,3,0.11,CS,2078,,0.173,0.415932687,1
1,4,0.55,CS,1696,,0.064,0.252982213,2
1,5,0.11,CS,928,,0.019,0.137840488,1
1,6,0.55,CS,794,,0.019,0.137840488,2
1,7,0.55,CSUS,1613,,3.447,1.856609814,2
1,8,0.11,CS,1363,,0.753,0.867755726,1
1,9,0.55,CSUS,1250,,2.183,1.477497885,2
1,10,0.55,CS,723,,0.779,0.882609767,2
1,11,0.11,CS,1673,,0.784,0.885437745,1
1,12,0.55,CSUS,1121,,2.355,1.534600925,2
1,13,0.11,CS,1108,,1.348,1.161034022,1
1,14,0.11,CS,1228,,0.932,0.965401471,1
1,15,0.55,CS,2341,,0.329,0.573585216,2
1,16,0.55,CSUS,1271,,2.041,1.428635713,2
1,17,0.11,CS,1270,,0.251,0.500999002,1
1,18,0.55,CSUS,1101,,1.387,1.177709642,2
1,19,0.11,CS,926,,0.639,0.799374756,1
1,20,0.55,CSUS,755,,2.127,1.458423807,2
1,21,0.11,CS,1171,,0.663,0.814248119,1
1,22,0.55,CS,878,,0.454,0.673795221,2
1,23,0.55,CSUS,1796,,2.003,1.415273825,2
1,24,0.11,CS,1069,,0.296,0.54405882,1
1,25,0.55,CSUS,914,,1.493,1.221883792,2
1,26,0.11,CS,929,,0.852,0.923038461,1
1,27,0.11,CS,878,,0.825,0.908295106,1
1,28,0.11,CS,1408,,0.105,0.324037035,1
1,29,0.55,CSUS,1093,,2.091,1.446029045,2
1,30,0.11,CS,800,,0.16,0.4,1
2,1,0.55,CS,1215,,0.622,0.788669766,2
2,2,0.11,CS,890,,0.135,0.367423461,1
2,3,0.55,CS,947,,0.027,0.164316767,2
2,4,0.11,CS,1107,,0.016,0.126491106,1
2,5,0.11,CS,1074,,0.056,0.236643191,1
2,6,0.55,CS,956,,0.151,0.388587185,2
2,7,0.55,CSUS,912,,2.767,1.663430191,2
2,8,0.11,CS,800,,0.817,0.903880523,1
2,9,0.55,CSUS,847,,1.542,1.241772926,2
2,10,0.55,CS,685,,0.048,0.219089023,2
2,11,0.11,CS,840,,0.384,0.619677335,1
2,12,0.55,CSUS,851,,2.102,1.449827576,2
2,13,0.11,CS,708,,0.068,0.260768096,1
2,14,0.11,CS,793,,0.045,0.212132034,1
2,15,0.55,CS,1162,,0.253,0.502991054,2
2,16,0.55,CSUS,686,,2.226,1.491978552,2
2,17,0.11,CS,640,,0.045,0.212132034,1
2,18,0.55,CSUS,687,,1.997,1.413152504,2
2,19,0.11,CS,773,,0.025,0.158113883,1
2,20,0.55,CSUS,741,,1.277,1.130044247,2
2,21,0.11,CS,690,,0.048,0.219089023,1
2,22,0.55,CS,762,,0.065,0.254950976,2
2,23,0.55,CSUS,884,,0.396,0.629285309,2
2,24,0.11,CS,1414,,0.587,0.766159252,1
2,25,0.55,CSUS,1329,,0.997,0.998498873,2
2,26,0.11,CS,1107,,0.132,0.363318042,1
2,27,0.11,CS,891,,0.102,0.319374388,1
2,28,0.11,CS,873,,0.167,0.408656335,1
2,29,0.55,CSUS,839,,0.207,0.454972527,2
2,30,0.11,CS,749,,0.062,0.248997992,1
4,1,0.11,CS,1696,,0.735,0.85732141,1
4,2,0.55,CS,755,,0.981,0.990454441,2
4,3,0.55,CS,787,,0.022,0.14832397,2
4,4,0.11,CS,629,,1.155,1.074709263,1
4,5,0.11,CS,670,,0.134,0.366060104,1
4,6,0.55,CS,631,,0.875,0.935414347,2
4,7,0.55,CSUS,634,,2.478,1.574166446,2
4,8,0.11,CS,572,,0.085,0.291547595,1
4,9,0.55,CSUS,570,,0.08,0.282842712,2
4,10,0.55,CS,560,,0.776,0.880908622,2
4,11,0.11,CS,576,,1.406,1.185748709,1
4,12,0.55,CSUS,562,,0.643,0.801872808,2
4,13,0.11,CS,526,,1.318,1.148041811,1
4,14,0.11,CS,444,,0.82,0.905538514,1
4,15,0.55,CS,551,,0.427,0.65345237,2
4,16,0.55,CSUS,554,,1.518,1.232071427,2
4,17,0.11,CS,553,,0.132,0.363318042,1
4,18,0.55,CSUS,574,,0.64,0.8,2
4,19,0.11,CS,443,,0.762,0.872926114,1
4,20,0.55,CSUS,472,,1.348,1.161034022,2
4,21,0.11,CS,409,,0.544,0.737563557,1
4,22,0.55,CS,420,,0.067,0.258843582,2
4,23,0.55,CSUS,516,,1.473,1.213672114,2
4,24,0.11,CS,419,,0.114,0.33763886,1
4,25,0.55,CSUS,573,,0.404,0.635609943,2
4,26,0.11,CS,538,,0.938,0.968504001,1
4,27,0.11,CS,530,,0.845,0.919238816,1
