subject,trial,face,trial_type,rt,HandScored_scr,raw_scr,scr,response
1,2,0.11,CS,2368,,0.024,0.154919334,1
1,3,0.11,CS,1445,,0.042,0.204939015,1
1,4,0.11,CS,1733,,0.018,0.134164079,1
1,8,0.11,CS,793,,0.059,0.242899156,1
1,11,0.11,CS,881,,0.032,0.178885438,1
1,13,0.11,CS,724,,0.032,0.178885438,1
1,14,0.11,CS,662,,0.421,0.648845128,1
1,17,0.11,CS,680,,0.016,0.126491106,1
1,19,0.11,CS,768,,0.123,0.350713558,1
1,21,0.11,CS,749,,0.032,0.178885438,1
1,24,0.11,CS,1660,,0.477,0.690651866,1
1,26,0.11,CS,4348,,0.016,0.126491106,1
1,27,0.11,CS,778,,0.054,0.232379001,1
1,28,0.11,CS,1473,,0.013,0.114017543,1
1,30,0.11,CS,1137,,0.035,0.187082869,1
2,2,0.11,CS,636,,0.019,0.137840488,1
2,4,0.11,CS,1838,,0.024,0.154919334,1
2,6,0.11,CS,1758,,0.019,0.137840488,1
2,8,0.11,CS,869,,0.012,0.109544512,1
2,11,0.11,CS,835,,0.044,0.20976177,1
2,13,0.11,CS,958,,0.064,0.252982213,1
2,14,0.11,CS,1042,,0.146,0.382099463,1
2,17,0.11,CS,969,,0.067,0.258843582,1
2,19,0.11,CS,1113,,0.051,0.225831796,1
2,21,0.11,CS,693,,0.022,0.14832397,1
2,24,0.11,CS,1118,,0.021,0.144913767,1
2,26,0.11,CS,847,,0.033,0.181659021,1
2,27,0.11,CS,854,,0.076,0.275680975,1
2,28,0.11,CS,755,,0.022,0.14832397,1
2,30,0.11,CS,719,,0.045,0.212132034,1
3,1,0.11,CS,972,,1.092,1.044988038,1
3,5,0.11,CS,821,,0.869,0.932201695,1
3,6,0.11,CS,761,,0.477,0.690651866,1
3,8,0.11,CS,830,,0.088,0.296647939,1
3,11,0.11,CS,772,,0.376,0.613188389,1
3,13,0.11,CS,672,,0.064,0.252982213,1
3,14,0.11,CS,763,,0.253,0.502991054,1
3,17,0.11,CS,656,,0.151,0.388587185,1
3,19,0.11,CS,802,,0.843,0.918150314,1
3,21,0.11,CS,725,,0.143,0.378153408,1
3,24,0.11,CS,727,,0.126,0.354964787,1
3,26,0.11,CS,600,,0.129,0.3591657,1
3,27,0.11,CS,921,,0.636,0.797496081,1
3,28,0.11,CS,891,,0.245,0.494974747,1
3,30,0.11,CS,838,,0.155,0.393700394,1
4,1,0.11,CS,1333,,0.398,0.630872412,1
4,5,0.11,CS,1042,,0.625,0.790569415,1
4,6,0.11,CS,1109,,0.556,0.745654075,1
4,8,0.11,CS,613,,0.141,0.375499667,1
4,11,0.11,CS,910,,0.314,0.560357029,1
4,13,0.11,CS,886,,0.042,0.204939015,1
4,14,0.11,CS,688,,0.347,0.589067059,1
4,17,0.11,CS,755,,0.224,0.473286383,1
4,19,0.11,CS,588,,0.495,0.703562364,1
4,21,0.11,CS,553,,0.177,0.420713679,1
4,24,0.11,CS,300,,0.244,0.493963561,1
4,26,0.11,CS,254,,0.059,0.242899156,1
4,27,0.11,CS,723,,0.1,0.316227766,1
4,28,0.11,CS,581,,0.227,0.47644517,1
4,30,0.11,CS,309,,0.1,0.316227766,1
5,1,0.11,CS,1633,,0.604,0.777174369,1
5,5,0.11,CS,723,,1.4,1.183215957,1
5,6,0.11,CS,632,,1.368,1.169615321,1
5,8,0.11,CS,584,,0.311,0.55767374,1
5,11,0.11,CS,581,,0.434,0.658786764,1
5,13,0.11,CS,606,,0.209,0.457165178,1
5,14,0.11,CS,564,,0.511,0.71484264,1
5,17,0.11,CS,734,,0.157,0.396232255,1
5,19,0.11,CS,920,,0.079,0.281069386,1
5,21,0.11,CS,547,,0.109,0.33015148,1
5,24,0.11,CS,482,,0.054,0.232379001,1
5,26,0.11,CS,711,,0.057,0.238746728,1
5,27,0.11,CS,504,,0.019,0.137840488,1
5,28,0.11,CS,567,,0.028,0.167332005,1
5,30,0.11,CS,592,,0.027,0.164316767,1
6,1,0.11,CS,1428,,1.463,1.209545369,1
6,3,0.11,CS,670,,0.914,0.956033472,1
6,5,0.11,CS,786,,1.242,1.114450537,1
6,8,0.11,CS,680,,0.396,0.629285309,1
6,11,0.11,CS,519,,0.451,0.671565336,1
6,13,0.11,CS,612,,0.19,0.435889894,1
6,14,0.11,CS,580,,0.299,0.546808925,1
6,17,0.11,CS,663,,0.654,0.808702665,1
6,19,0.11,CS,683,,0.315,0.561248608,1
6,21,0.11,CS,592,,0.344,0.586515132,1
6,24,0.11,CS,592,,0.041,0.202484567,1
6,26,0.11,CS,540,,0.27,0.519615242,1
6,27,0.11,CS,840,,0.552,0.742967025,1
6,28,0.11,CS,764,,0.636,0.797496081,1
6,30,0.11,CS,594,,0.115,0.339116499,1
7,2,0.11,CS,837,,0.314,0.560357029,1
7,4,0.11,CS,1270,,0.822,0.906642157,1
7,6,0.11,CS,814,,0.37,0.608276253,1
7,8,0.11,CS,666,,0.086,0.293257566,1
7,11,0.11,CS,772,,0.047,0.216794834,1
7,13,0.11,CS,704,,0.114,0.33763886,1
7,14,0.11,CS,545,,0.045,0.212132034,1
7,17,0.11,CS,636,,0.045,0.212132034,1
7,19,0.11,CS,681,,0.032,0.178885438,1
7,21,0.11,CS,868,,0.032,0.178885438,1
7,24,0.11,CS,695,,0.038,0.194935887,1
7,26,0.11,CS,690,,0.036,0.18973666,1
7,27,0.11,CS,674,,0.027,0.164316767,1
7,28,0.11,CS,711,,0.018,0.134164079,1
7,30,0.11,CS,616,,0.062,0.248997992,1
8,2,0.11,CS,1323,,3.015,1.736375535,1
8,3,0.11,CS,1198,,2.597,1.611521021,1
8,5,0.11,CS,871,,2.406,1.551128621,1
8,8,0.11,CS,1496,,2.209,1.4862705,1
8,11,0.11,CS,824,,2.133,1.460479373,1
8,13,0.11,CS,799,,0.492,0.701427117,1
8,14,0.11,CS,805,,0.097,0.31144823,1
8,17,0.11,CS,1071,,0.779,0.882609767,1
8,19,0.11,CS,894,,0.291,0.539444158,1
8,21,0.11,CS,823,,0.332,0.576194412,1
8,24,0.11,CS,838,,0.492,0.701427117,1
8,26,0.11,CS,807,,0.244,0.493963561,1
8,27,0.11,CS,837,,0.1,0.316227766,1
8,28,0.11,CS,861,,0.135,0.367423461,1
8,30,0.11,CS,789,,0.09,0.3,1
9,2,0.11,CS,1627,,0.453,0.673052747,1
9,3,0.11,CS,1492,,0.03,0.173205081,1
9,6,0.11,CS,1014,,0.047,0.216794834,1
9,8,0.11,CS,829,,1.261,1.122942563,1
9,11,0.11,CS,988,,0.761,0.87235314,1
9,13,0.11,CS,859,,0.453,0.673052747,1
9,14,0.11,CS,894,,0.114,0.33763886,1
9,17,0.11,CS,927,,0.234,0.483735465,1
9,19,0.11,CS,971,,0.128,0.357770876,1
9,21,0.11,CS,825,,0.157,0.396232255,1
9,24,0.11,CS,1014,,0.27,0.519615242,1
9,26,0.11,CS,870,,0.656,0.809938269,1
9,27,0.11,CS,975,,0.105,0.324037035,1
9,28,0.11,CS,898,,0.085,0.291547595,1
9,30,0.11,CS,1199,,0.177,0.420713679,1
10,1,0.11,CS,1769,,0.601,0.775241898,1
10,3,0.11,CS,1413,,0.279,0.528204506,1
