subject,trial,face,trial_type,rt,HandScored_SCR,raw_scr,scr,response,phase
1,1,0.3,CS,1170,,0.065613,0.256150346,1,1
1,2,0.55,CS,1322,,0.019836,0.140840335,2,1
1,3,0.77,CS,836,,0.073242,0.270632592,2,1
1,4,0.11,CS,818,,0.49133,0.700949356,1,1
1,5,1,CS,734,,0.52643,0.72555496,2,1
1,6,0.3,CS,1093,,0,0,1,1
1,7,0.55,CS,867,,0.022888,0.151287805,2,1
1,8,0.11,CS,775,,0,0,1,1
1,9,0.77,CS,923,,0.55847,0.747308504,2,1
1,10,0.77,CS,738,,0,0,2,1
1,11,0.11,CS,601,,0,0,1,1
1,12,1,CS,778,,0.024414,0.1562498,2,1
1,13,1,CS,696,,0.071716,0.267798432,2,1
1,14,0.55,CSUS,1221,,0,0,2,1
1,15,0.3,CS,1079,,0,0,1,1
1,16,0.11,CS,1020,,0,0,1,2
1,17,0.3,CS,1948,,0,0,1,2
1,18,0.55,CSUS,1835,,0,0,2,2
1,19,0.77,CS,1086,,0,0,2,2
1,20,1,CS,1040,,0.65155,0.807186472,2,2
1,21,0.11,CS,796,,0,0,1,2
1,22,0.3,CS,2608,,0,0,1,2
1,23,0.55,CS,996,,0.016785,0.129556937,2,2
1,24,0.77,CS,734,,0.015259,0.123527325,2,2
1,25,1,CS,917,,0,0,2,2
1,26,0.55,CSUS,1907,,0,0,2,2
1,27,0.11,CS,721,,0,0,1,2
1,28,1,CS,769,,0,0,2,2
1,29,0.3,CS,2026,,0,0,2,2
1,30,0.3,CS,756,,0,0,1,3
1,31,0.55,CS,1427,,0,0,2,3
1,32,0.11,CS,954,,0,0,1,3
1,33,0.77,CS,2577,,0.050354,0.22439697,2,2
1,34,1,CS,698,,0,0,2,3
1,35,0.77,CS,796,,0,0,2,3
1,36,1,CS,1193,,0,0,2,3
1,37,0.3,CS,1494,,0,0,1,3
1,38,0.3,CS,825,,0,0,1,3
1,39,0.11,CS,901,,0,0,1,3
1,40,0.55,CS,964,,0.064087,0.253154103,2,3
1,41,0.55,CS,917,,0,0,2,3
1,42,1,CS,1256,,0,0,2,3
1,43,0.77,CS,915,,0,0,2,3
1,44,0.77,CS,716,,0,0,2,3
1,45,0.11,CS,782,,0,0,1,3
2,1,0.3,CS,1275,,0,0,2,1
2,2,0.77,CS,588,,0,0,2,1
2,3,0.3,CS,2969,,0,0,2,1
2,4,1,CS,676,,0,0,2,1
2,5,0.55,CSUS,1517,,0,0,2,1
2,6,0.11,CS,2099,,0,0,1,1
2,7,0.3,CS,1430,,0,0,2,1
2,8,0.55,CSUS,1090,,0,0,2,1
2,9,0.77,CS,1579,,0,0,2,1
2,10,1,CS,614,,0,0,2,1
2,11,0.11,CS,938,,0,0,1,1
2,12,0.3,CS,2014,,0,0,2,2
2,13,0.55,CS,1103,,0,0,2,1
2,14,0.77,CS,946,,0,0,2,1
2,15,1,CS,806,,0,0,2,1
2,16,0.55,CS,782,,0,0,2,2
2,17,0.3,CS,1874,,0,0,2,2
2,18,0.77,CS,884,,0,0,2,2
2,19,1,CS,658,,0,0,2,2
2,20,0.55,CSUS,1152,,0,0,2,2
2,21,0.11,CS,1182,,0,0,1,1
2,22,0.3,CS,1826,,0,0,2,2
2,23,0.77,CS,671,,0,0,2,2
2,24,1,CS,728,,0,0,2,2
2,25,0.11,CS,920,,0,0,1,2
2,26,0.55,CS,1011,,0,0,2,2
2,27,0.3,CS,1309,,0,0,2,3
2,28,0.77,CS,908,,0,0,2,2
2,29,0.3,CS,1192,,0,0,2,3
2,30,1,CS,713,,0,0,2,2
2,31,0.11,CS,962,,0,0,1,2
2,32,1,CS,598,,0,0,2,3
2,33,0.77,CS,819,,0,0,2,3
2,34,0.55,CS,736,,0,0,2,3
2,35,0.11,CS,837,,0,0,1,2
2,36,0.77,CS,611,,0,0,2,3
2,37,0.55,CS,614,,0,0,2,3
2,38,0.3,CS,1456,,0,0,2,3
2,39,0.11,CS,3293,,0,0,2,3
2,40,1,CS,624,,0,0,2,3
2,41,0.77,CS,657,,0,0,2,3
2,42,0.55,CS,1064,,0,0,2,3
2,43,1,CS,622,,0,0,2,3
2,44,0.11,CS,1108,,0,0,1,3
2,45,0.11,CS,1305,,0,0,1,3
3,1,1,CS,797,,1.6296,1.276557872,2,1
3,2,0.55,CS,1090,,0.22888,0.478414047,2,1
3,3,0.11,CS,756,,0,0,1,1
3,4,0.77,CS,711,,0.31738,0.563364891,2,1
3,5,0.3,CS,1154,,0.091553,0.302577263,1,1
3,6,0.77,CS,773,,0.914,0.956033472,2,1
3,7,0.55,CSUS,1231,,0,0,2,1
3,8,0.3,CS,1742,,0,0,1,1
3,9,0.11,CS,881,,0,0,1,1
3,10,1,CS,886,,0,0,2,1
3,11,0.3,CS,1139,,0.041199,0.202975368,1,1
3,12,0.77,CS,729,,1.503,1.225969005,2,1
3,13,0.55,CS,616,,0.40741,0.638286769,2,1
3,14,0.11,CS,737,,0.027466,0.165728694,1,1
3,15,1,CS,729,,0,0,2,1
3,16,0.11,CS,785,,0,0,1,2
3,17,0.3,CS,1062,,0,0,1,2
3,18,0.55,CSUS,731,,0.57373,0.757449668,2,2
3,19,0.77,CS,888,,0,0,2,2
3,20,1,CS,851,,0,0,2,2
3,21,0.11,CS,822,,0,0,1,2
3,22,0.3,CS,1994,,0,0,2,2
3,23,0.55,CS,877,,0.51117,0.714961537,2,2
3,24,0.77,CS,626,,0,0,2,2
3,25,1,CS,711,,0.14801,0.384720678,2,2
3,26,0.77,CS,842,,0.27618,0.525528306,2,2
3,27,0.55,CS,1439,,0,0,2,2
3,28,1,CS,691,,0,0,2,2
3,29,1,CS,632,,0,0,2,3
3,30,0.77,CS,683,,0,0,2,3
3,31,0.55,CSUS,1137,,0,0,2,3
3,32,0.11,CS,616,,0,0,1,2
3,33,0.3,CS,749,,0,0,2,2
3,34,0.11,CS,574,,0,0,1,3
3,35,0.3,CS,956,,0,0,2,3
3,36,1,CS,691,,0,0,2,3
3,37,0.3,CS,1511,,0,0,1,3
3,38,0.3,CS,970,,0,0,1,3
3,39,1,CS,595,,0,0,2,3
3,40,0.77,CS,693,,0,0,2,3
3,41,0.55,CS,1106,,0,0,2,3
3,42,0.77,CS,649,,0.18768,0.433220498,2,3
3,43,0.55,CS,1189,,0.84991,0.921905635,2,3
3,44,0.11,CS,683,,0,0,1,3
3,45,0.11,CS,621,,0,0,1,3
4,1,0.55,CS,824,,1.0223,1.011088522,2,1
4,2,0.77,CS,654,,0.013733,0.117187883,2,1
4,3,1,CS,845,,0.70801,0.841433301,2,1
4,4,0.11,CS,879,,0,0,1,1
4,5,0.3,CS,1171,,0.07019,0.264933954,1,1
4,6,0.77,CS,1057,,0.18768,0.433220498,2,1
4,7,0.77,CS,518,,0.053406,0.231097382,2,1
4,8,0.55,CS,3424,,0,0,2,1
4,9,0.11,CS,646,,0.11597,0.340543683,1,1
4,10,0.55,CSUS,1514,,0,0,2,1
4,11,0.11,CS,1439,,0,0,1,1
4,12,1,CS,654,,0.45319,0.67319388,2,1
4,13,1,CS,686,,0,0,2,1
4,14,0.3,CS,937,,0,0,1,1
4,15,0.3,CS,729,,0,0,1,1
4,16,0.11,CS,765,,0,0,1,2
4,17,0.3,CS,1000,,0,0,1,2
4,18,0.55,CSUS,848,,0,0,1,2
4,19,0.77,CS,1067,,0,0,2,2
4,20,1,CS,827,,0,0,2,2
4,21,0.11,CS,884,,0,0,1,2
4,22,0.3,CS,3564,,0,0,1,2
4,23,0.55,CS,4126,,0.51727,0.71921485,2,2
4,24,0.77,CS,1026,,0,0,2,2
4,25,1,CS,798,,0,0,2,2
4,26,0.3,CS,1352,,0,0,1,2
4,27,0.77,CS,982,,0.048828,0.220970586,2,2
4,28,0.77,CS,909,,0,0,2,3
4,29,0.11,CS,879,,0,0,1,2
4,30,0.55,CSUS,1022,,0,0,1,2
4,31,1,CS,841,,0,0,2,2
4,32,0.11,CS,832,,0,0,1,3
4,33,1,CS,721,,0,0,2,3
4,34,0.3,CS,1502,,0,0,1,3
4,35,0.55,CS,0,,0,0,,3
4,36,0.55,CS,1295,,0,0,2,3
4,37,0.3,CS,1221,,0,0,1,3
4,38,1,CS,670,,0,0,2,3
4,39,0.3,CS,1189,,0,0,1,3
4,40,0.11,CS,841,,0.15411,0.392568465,1,3
4,41,0.55,CS,2366,,0,0,2,3
4,42,1,CS,650,,0,0,2,3
4,43,0.11,CS,950,,0,0,1,3
4,44,0.77,CS,850,,0,0,2,3
4,45,0.77,CS,913,,0,0,2,3
5,1,0.55,CS,801,,0,0,2,1
5,2,0.11,CS,598,,0,0,1,1
5,3,1,CS,648,,0,0,2,1
5,4,0.3,CS,673,,0.56,0.748331477,1,1
5,5,0.77,CS,719,,0,0,2,1
5,6,0.55,CSUS,701,,0,0,2,1
5,7,0.55,CS,615,,0,0,2,1
5,8,0.11,CS,596,,0,0,1,1
5,9,0.3,CS,638,,0,0,1,1
5,10,1,CS,586,,1.3931,1.180296573,2,1
5,11,1,CS,630,,0.9079,0.952837867,2,1
5,12,0.3,CS,565,,0,0,1,1
5,13,0.77,CS,781,,1.4771,1.215360029,2,1
5,14,0.77,CS,562,,0.34332,0.58593515,2,1
5,15,0.11,CS,744,,0,0,1,1
5,16,0.11,CS,650,,0,0,1,2
5,17,0.3,CS,577,,0,0,1,2
5,18,0.55,CSUS,573,,0.64,0.8,2,2
5,19,0.77,CS,658,,0,0,2,2
5,20,1,CS,659,,0,0,2,2
5,21,0.11,CS,379,,0,0,1,2
5,22,0.3,CS,497,,0,0,1,2
5,23,0.55,CS,643,,0,0,2,2
5,24,0.77,CS,704,,0,0,2,2
5,25,1,CS,600,,0,0,2,2
5,26,0.55,CS,1977,,0,0,1,2
5,27,0.11,CS,770,,0,0,1,2
5,28,0.11,CS,913,,0,0,1,3
5,29,0.77,CS,955,,0,0,2,2
5,30,0.55,CSUS,870,,0,0,2,3
5,31,1,CS,671,,0,0,2,2
5,32,1,CS,653,,0,0,2,3
5,33,0.77,CS,700,,0,0,2,3
5,34,0.3,CS,825,,0,0,1,2
5,35,0.3,CS,545,,0,0,1,3
5,36,0.11,CS,869,,0,0,1,3
5,37,0.77,CS,730,,0.32654,0.571436786,2,3
5,38,1,CS,389,,0,0,2,3
5,39,0.55,CS,1447,,0,0,2,3
5,40,0.3,CS,735,,0.015259,0.123527325,1,3
5,41,1,CS,597,,0,0,2,3
5,42,0.11,CS,674,,0,0,1,3
5,43,0.3,CS,1139,,0,0,1,3
5,44,0.55,CS,953,,0,0,2,3
5,45,0.77,CS,701,,0.1236,0.351567917,2,3
6,1,0.11,CS,662,,0,0,1,1
6,2,0.3,CS,1764,,0,0,2,1
6,3,1,CS,617,,0,0,2,1
6,4,0.55,CS,2057,,0.030518,0.174694018,2,1
6,5,0.77,CS,769,,0,0,2,1
6,6,1,CS,614,,0,0,2,1
6,7,0.55,CSUS,1168,,0,0,1,1
6,8,0.3,CS,1209,,0.065613,0.256150346,1,1
6,9,0.77,CS,720,,0,0,2,1
6,10,0.11,CS,734,,0,0,1,1
6,11,1,CS,649,,0,0,2,1
6,12,0.77,CS,515,,0.0030518,0.055243099,2,1
6,13,0.11,CS,708,,0.13123,0.362256815,1,1
6,14,0.55,CS,659,,1.0925,1.045227248,1,1
